playername,cs_total,cspm,minionkills,monsterkills,games_played
Chan,10558.0,0.13214405056805273,10316.0,242,44
Chance2Win,3183.0,0.12032457662712003,3097.0,86,15
Chap1nho,126.0,0.0825147347740668,126.0,0,1
Charley,951.0,0.015459613660970104,947.0,4,36
Chasy,12020.0,0.1319304007403477,11660.0,360,48
Cheng9,11964.0,0.12857659467354635,11544.0,420,51
Cherry,725.0,0.01675862805160093,719.0,6,22
ChiCh1,15726.0,0.1402183173594961,15283.0,443,61
Chien,12388.0,0.13958077525132756,12264.0,124,49
Chika,5933.0,0.13712374420849668,5791.0,142,23
Chompy,1402.0,0.11421981312131675,1387.0,15,6
Chordy,4830.0,0.0633112673633362,4594.0,236,38
Chova,27.0,0.013705583756345178,27.0,0,1
Chovy,35229.0,0.15503991298596706,34333.0,896,120
Chrislai,600.0,0.07995423426585212,68.0,532,4
Chryssey,1254.0,0.1356356840224689,1226.0,28,5
Cid,18207.0,0.14120372456004698,17948.0,259,70
Cinkrof,7274.0,0.10151047072662008,875.0,6399,38
Cipher,1558.0,0.12546475341242908,1516.0,42,7
Citrus,4040.0,0.10290263934772383,564.0,3476,19
Claww,14356.0,0.11556011315682604,14105.0,251,65
Clayce,1127.0,0.09241446009637856,191.0,936,6
Clear,18311.0,0.12788006206901897,18020.0,291,76
Click,1606.0,0.018978152188583692,1592.0,14,44
Climber,7779.0,0.10334290016440506,832.0,6947,39
Closer,5005.0,0.09868874863434103,679.0,4326,25
Cloud,3804.0,0.018509496541328663,3780.0,24,107
Clozer,23593.0,0.15258816793056143,23154.0,439,79
CoBiT,2054.0,0.01709426263934732,2037.0,17,64
Coated,2301.0,0.12420718813537998,2234.0,67,10
Coldraa,4286.0,0.1487792242672696,4180.0,106,15
Coli,370.0,0.014458108977729993,370.0,0,14
Colomblbl,855.0,0.013672648586342368,855.0,0,31
Color,4741.0,0.1352302710421994,4614.0,127,19
Comp,24235.0,0.16872247511406055,23103.0,1132,68
Competitive,12101.0,0.12873984037997813,11831.0,270,51
