playername,mean_kills,std_kills,mean_deaths,std_deaths,mean_damage,std_damage
J3rkie,0.9692307692307692,1.1314983259105873,3.876923076923077,2.4012216442085026,7366.630769230769,3878.0868735806403
JACTROLL,1.4696969696969697,1.3034828725639622,4.515151515151516,2.6325911438231593,8822.575757575758,3631.57521685989
JForteX,1.8,1.4832396974191326,5.0,2.8284271247461903,9514.4,4875.471495147931
JNX,2.75,2.4188972342344837,3.5833333333333335,1.772524744998277,19432.020833333332,8141.454581442088
JT,0.0,,7.0,,6173.0,
JaVaaa,1.6666666666666667,2.250925735484551,4.333333333333333,1.7511900715418265,13897.166666666666,3079.375158480478
Jabu,0.0,,4.0,,4521.0,
Jackal,4.8,3.2756266163483487,3.8933333333333335,2.209153765666926,18934.213333333333,7282.601078418849
JackeyLove,4.515625,3.0635895137340796,2.7890625,1.9946872102986815,25624.6484375,10121.881112391282
Jackies,3.5306122448979593,2.4925057741184085,3.122448979591837,1.6536909861128892,23685.938775510203,7840.905037600792
Jaehyuk,2.5844155844155843,2.530605551364344,3.220779220779221,1.8182074502636167,17644.0,8513.740358663566
Jakobobbi,1.0,0.0,8.5,3.5355339059327378,6736.0,1484.9242404917497
Jakoo,0.5,0.7071067811865476,3.0,1.4142135623730951,14736.5,3206.729252680993
Jalleba,6.277777777777778,3.2322921307178674,3.611111111111111,2.5469448569953697,28325.333333333332,10519.351909135625
Jamie,4.896551724137931,3.0862000165044257,2.103448275862069,1.8773999419068705,22756.379310344826,9904.459397570778
Jandro,1.0,1.4142135623730951,5.5,2.1213203435596424,10171.5,3500.8856736545968
Janis,2.0869565217391304,2.0206444399174166,4.043478260869565,1.9651107040193392,14716.173913043478,7000.034621032398
Jankos,3.66,2.2187512575449153,2.84,1.9728773144722362,14335.34,5631.282221081571
Janus,4.46969696969697,2.3285498753826426,2.5303030303030303,2.1065443592597664,22030.136363636364,8547.873428540555
Jarvis,2.0,1.8257418583505538,4.8,2.440400695696417,13827.0,6633.354807335426
Jauny,3.5,2.5495097567963922,2.1666666666666665,1.9478494929174643,19919.5,5733.490429049307
JayJay,3.6153846153846154,3.0424349222966556,4.153846153846154,2.230327100305911,19976.923076923078,9181.960252414681
Jcom,5.857142857142857,2.734262327610589,4.285714285714286,1.2535663410560174,18637.0,4365.619543661586
Jellou,1.0,0.9534625892455924,4.75,1.6583123951777,9084.5,3361.773057615444
Jelly,1.0,1.4142135623730951,3.75,2.6049403612586386,6674.625,3884.4111867639785
Jenxas,4.647058823529412,2.714340998994697,4.411764705882353,2.807552838536876,18133.058823529413,9546.324727811407
Jericho,3.0,1.8257418583505536,4.0,2.134374745810949,17977.684210526317,5300.863179737089
Jerry,0.2857142857142857,0.48795003647426666,3.142857142857143,3.0783421635988546,6905.428571428572,1979.638759735629
Jeskla,4.492307692307692,2.8013561276364265,2.4,1.7211914478058508,22599.861538461537,6960.561956203956
Jeykup,3.276595744680851,3.4116305400380957,2.8085106382978724,1.9960645832579016,13649.234042553191,6473.630935380203
Jeyrus,6.0,5.1478150704935,3.8,1.6431676725154984,30511.0,25119.166477015115
Jezu,4.725,2.9263392726171618,2.5,1.585187847802434,24051.15,8941.536902683525
JiT,4.666666666666667,3.0550504633038935,5.333333333333333,3.0550504633038935,29772.333333333332,15738.246926939904
JiaHao,4.8,7.463243262818116,3.6,1.1401754250991378,20673.0,11017.042003187607
JiaQi,3.730769230769231,3.2786617584150877,2.826923076923077,1.5045180825212716,22792.076923076922,9261.564535272948
Jiejie,3.6666666666666665,2.768198213335636,2.8555555555555556,2.2563822645653806,16497.233333333334,7080.159975736598
JimieN,1.9523809523809523,2.1408042818732578,3.1666666666666665,1.7096093786717117,16307.833333333334,8481.888670017372
Jimsnop,4.166666666666667,2.1248885888797826,4.833333333333333,2.0375267241229382,20220.916666666668,8807.506864842198
Jinbeom,4.870967741935484,3.276763051748328,3.5161290322580645,2.230503401858129,23927.854838709678,9774.926665016552
Jisoo,1.5,0.7071067811865476,1.0,0.0,16698.0,3853.731957466684
Jiux,3.142857142857143,2.9680841985233184,3.5714285714285716,2.8784916685156974,14972.285714285714,7084.696928692756
Jiwoo,3.9313725490196076,2.5650345139691284,2.911764705882353,2.0299877635902512,22186.617647058825,8335.476322660039
JoJo,0.7868852459016393,1.0506308279372072,2.9344262295081966,2.489101929471862,6984.540983606557,3105.08087695941
JoKozz,0.5,0.7071067811865476,1.5,2.1213203435596424,17009.5,4916.513449590065
